Transaction ID,Customer ID,Location,Payment Method,Category,Item,Quantity,Unit Price,Unit_Cost,Pre_Discount_Total,Discount_Rate,Total Spent,Date
TXN_646286,CUST_0335,In-store,Credit Card,Beverages,Coffee Beans,6,2.65,2.04,15.9,0,15.9,2024-06-06
TXN_881723,CUST_0086,In-store,Digital Wallet,Beverages,Bottled Water,14,1.05,0.67,14.7,0,14.7,2025-01-27
TXN_631373,CUST_0734,In-store,Digital Wallet,Beverages,Tea Pack,11,2.86,1.66,31.46,0,31.46,2025-07-17
TXN_423652,CUST_0875,Online,Credit Card,Beverages,Soft Drink,32,2.2,1.28,70.4,0,70.4,2023-07-08
TXN_540016,CUST_0424,In-store,Credit Card,Beverages,Tea Pack,25,2.86,2.12,71.5,0,71.5,2025-01-21
TXN_182186,CUST_0613,In-store,Cash,Beverages,Energy Drink,16,2.99,1.69,47.84,0,47.84,2025-07-09
TXN_959285,CUST_0738,Online,Credit Card,Beverages,Bottled Water,108,1.05,0.69,113.4,0.042,108.64,2024-12-19
TXN_457166,CUST_0364,Online,Credit Card,Beverages,Coffee Beans,42,2.65,1.55,111.3,0.061,104.51,2025-06-02
TXN_249336,CUST_0060,In-store,Cash,Beverages,Bottled Water,53,1.05,0.8,55.65,0,55.65,2025-02-07
TXN_969900,CUST_0482,Online,Credit Card,Beverages,Energy Drink,10,2.99,2.23,29.9,0,29.9,2024-09-11
TXN_395293,CUST_0250,Online,Credit Card,Beverages,Energy Drink,16,2.99,1.95,47.84,0,47.84,2023-08-23
TXN_789763,CUST_0560,Online,Credit Card,Beverages,Energy Drink,22,2.99,1.65,65.78,0,65.78,2024-09-13
TXN_292885,CUST_0117,In-store,Cash,Beverages,Energy Drink,12,2.99,1.75,35.88,0,35.88,2023-06-10
TXN_866457,CUST_0739,Online,Credit Card,Beverages,Soft Drink,10,2.2,1.52,22,0,22,2023-09-15
TXN_634764,CUST_0874,In-store,Cash,Beverages,Coffee Beans,23,2.65,2.36,60.95,0,60.95,2023-06-21
TXN_537834,CUST_0915,In-store,Cash,Beverages,Energy Drink,49,2.99,1.82,146.51,0.061,137.57,2025-08-07
TXN_946148,CUST_0968,Online,Digital Wallet,Beverages,Energy Drink,15,2.99,1.72,44.85,0,44.85,2024-07-28
TXN_820760,CUST_0999,In-store,Credit Card,Beverages,Tea Pack,51,2.86,1.68,145.86,0.035,140.75,2023-05-06
TXN_561389,CUST_0545,Online,Digital Wallet,Beverages,Coffee Beans,24,2.65,2.08,63.6,0,63.6,2023-04-25
TXN_147893,CUST_0044,In-store,Credit Card,Beverages,Bottled Water,19,1.05,0.91,19.95,0,19.95,2023-08-12
TXN_892002,CUST_0509,In-store,Cash,Beverages,Coffee Beans,16,2.65,1.4,42.4,0,42.4,2024-06-03
TXN_663106,CUST_0988,Online,Credit Card,Beverages,Coffee Beans,22,2.65,2.12,58.3,0,58.3,2024-08-16
TXN_216639,CUST_0165,In-store,Credit Card,Beverages,Coffee Beans,21,2.65,1.85,55.65,0,55.65,2024-08-20
TXN_388165,CUST_0368,Online,Credit Card,Beverages,Energy Drink,9,2.99,2.48,26.91,0,26.91,2024-12-09
TXN_777689,CUST_0857,Online,Credit Card,Beverages,Energy Drink,23,2.99,2,68.77,0,68.77,2023-04-10
TXN_788039,CUST_0292,Online,Digital Wallet,Beverages,Soft Drink,27,2.2,1.1,59.4,0,59.4,2023-07-13
TXN_555895,CUST_0849,In-store,Cash,Beverages,Bottled Water,41,1.05,0.81,43.05,0,43.05,2023-04-08
TXN_883067,CUST_0856,In-store,Credit Card,Beverages,Tea Pack,20,2.86,2.35,57.2,0,57.2,2024-05-26
TXN_935604,CUST_0917,Online,Credit Card,Beverages,Coffee Beans,5,2.65,2.28,13.25,0,13.25,2023-05-06
TXN_309200,CUST_0898,Online,Credit Card,Beverages,Bottled Water,25,1.05,0.76,26.25,0,26.25,2025-04-28
TXN_193536,CUST_0799,In-store,Credit Card,Beverages,Bottled Water,19,1.05,0.58,19.95,0,19.95,2023-08-03
TXN_506107,CUST_0876,Online,Credit Card,Beverages,Soft Drink,22,2.2,1.43,48.4,0,48.4,2025-09-12
TXN_868806,CUST_0737,Online,Credit Card,Beverages,Tea Pack,25,2.86,2.33,71.5,0,71.5,2024-08-09
TXN_592529,CUST_0286,Online,Credit Card,Beverages,Coffee Beans,5,2.65,1.85,13.25,0,13.25,2024-06-09
TXN_238851,CUST_0204,In-store,Cash,Beverages,Tea Pack,19,2.86,2.23,54.34,0,54.34,2025-05-11
TXN_147369,CUST_0684,In-store,Credit Card,Beverages,Soft Drink,18,2.2,1.1,39.6,0,39.6,2024-12-06
TXN_270980,CUST_0524,In-store,Cash,Beverages,Energy Drink,18,2.99,1.58,53.82,0,53.82,2024-08-02
TXN_154439,CUST_0819,In-store,Credit Card,Beverages,Bottled Water,22,1.05,0.81,23.1,0,23.1,2025-09-07
TXN_682713,CUST_0121,Online,Credit Card,Beverages,Coffee Beans,68,2.65,1.63,180.2,0.051,171.01,2023-07-09
TXN_250104,CUST_0945,In-store,Cash,Beverages,Energy Drink,18,2.99,1.96,53.82,0,53.82,2024-05-25
TXN_294220,CUST_0756,Online,Credit Card,Beverages,Soft Drink,15,2.2,1.67,33,0,33,2025-07-19
TXN_697648,CUST_0664,In-store,Credit Card,Beverages,Tea Pack,24,2.86,1.56,68.64,0,68.64,2024-03-18
TXN_508184,CUST_0664,In-store,Cash,Beverages,Bottled Water,25,1.05,0.87,26.25,0,26.25,2025-06-12
TXN_547220,CUST_0188,In-store,Credit Card,Beverages,Coffee Beans,5,2.65,1.48,13.25,0,13.25,2023-09-21
TXN_931811,CUST_0907,In-store,Credit Card,Beverages,Energy Drink,12,2.99,2.37,35.88,0,35.88,2023-10-11
TXN_727977,CUST_0013,In-store,Credit Card,Beverages,Energy Drink,10,2.99,1.85,29.9,0,29.9,2024-12-10
TXN_280084,CUST_0603,In-store,Credit Card,Beverages,Bottled Water,40,1.05,0.63,42,0,42,2023-07-23
TXN_391901,CUST_0200,Online,Credit Card,Beverages,Tea Pack,37,2.86,2.37,105.82,0.042,101.38,2024-05-03
TXN_409336,CUST_0586,In-store,Digital Wallet,Beverages,Soft Drink,14,2.2,1.59,30.8,0,30.8,2023-08-12
TXN_225343,CUST_0768,In-store,Credit Card,Beverages,Tea Pack,62,2.86,1.67,177.32,0.034,171.29,2024-02-04
TXN_883943,CUST_0456,Online,Credit Card,Beverages,Tea Pack,29,2.86,1.43,82.94,0,82.94,2023-11-10
TXN_442697,CUST_0448,In-store,Cash,Beverages,Tea Pack,14,2.86,2.54,40.04,0,40.04,2024-12-02
TXN_390476,CUST_0788,In-store,Cash,Beverages,Bottled Water,34,1.05,0.71,35.7,0,35.7,2024-05-12
TXN_293611,CUST_0840,In-store,Credit Card,Beverages,Bottled Water,9,1.05,0.69,9.45,0,9.45,2025-08-28
TXN_413748,CUST_0841,In-store,Credit Card,Beverages,Soft Drink,31,2.2,1.14,68.2,0,68.2,2024-12-11
TXN_892940,CUST_0071,Online,Credit Card,Beverages,Tea Pack,35,2.86,2.45,100.1,0.054,94.69,2023-09-14
TXN_554554,CUST_0590,In-store,Cash,Beverages,Bottled Water,87,1.05,0.58,91.35,0,91.35,2023-07-15
TXN_111933,CUST_0796,Online,Credit Card,Beverages,Soft Drink,34,2.2,1.4,74.8,0,74.8,2025-08-14
TXN_505321,CUST_0130,Online,Credit Card,Beverages,Soft Drink,23,2.2,1.47,50.6,0,50.6,2024-09-26
TXN_153256,CUST_0889,In-store,Credit Card,Beverages,Tea Pack,15,2.86,2.36,42.9,0,42.9,2023-05-12
TXN_893968,CUST_0043,Online,Credit Card,Beverages,Coffee Beans,20,2.65,1.71,53,0,53,2023-06-02
TXN_909268,CUST_0520,In-store,Digital Wallet,Beverages,Tea Pack,19,2.86,2.04,54.34,0,54.34,2024-09-23
TXN_102217,CUST_0013,In-store,Cash,Beverages,Coffee Beans,24,2.65,1.78,63.6,0,63.6,2023-12-02
TXN_575282,CUST_0725,In-store,Credit Card,Beverages,Soft Drink,13,2.2,1.37,28.6,0,28.6,2023-08-01
TXN_128165,CUST_0623,In-store,Credit Card,Beverages,Bottled Water,29,1.05,0.92,30.45,0,30.45,2024-06-20
TXN_577062,CUST_0988,In-store,Credit Card,Beverages,Energy Drink,28,2.99,2.45,83.72,0,83.72,2024-11-15
TXN_562506,CUST_0803,In-store,Credit Card,Beverages,Soft Drink,83,2.2,1.25,182.6,0.049,173.65,2024-07-22
TXN_272111,CUST_0535,Online,Credit Card,Beverages,Bottled Water,26,1.05,0.76,27.3,0,27.3,2025-08-10
TXN_391619,CUST_0302,Online,Credit Card,Beverages,Soft Drink,26,2.2,1.8,57.2,0,57.2,2024-04-26
TXN_827491,CUST_0766,In-store,Credit Card,Beverages,Tea Pack,7,2.86,2.09,20.02,0,20.02,2025-05-20
TXN_324721,CUST_0527,Online,Credit Card,Beverages,Coffee Beans,25,2.65,1.85,66.25,0,66.25,2024-05-01
TXN_224639,CUST_0642,Online,Credit Card,Beverages,Soft Drink,21,2.2,1.16,46.2,0,46.2,2025-04-01
TXN_886271,CUST_0573,In-store,Cash,Beverages,Bottled Water,8,1.05,0.57,8.4,0,8.4,2025-02-25
TXN_117361,CUST_0115,In-store,Digital Wallet,Beverages,Tea Pack,12,2.86,1.71,34.32,0,34.32,2025-09-01
TXN_728644,CUST_0460,In-store,Cash,Beverages,Energy Drink,23,2.99,2.11,68.77,0,68.77,2023-11-23
TXN_119188,CUST_0832,In-store,Digital Wallet,Beverages,Tea Pack,33,2.86,2.56,94.38,0,94.38,2024-11-11
TXN_681019,CUST_0505,In-store,Credit Card,Beverages,Coffee Beans,21,2.65,2.18,55.65,0,55.65,2025-06-28
TXN_158929,CUST_0308,In-store,Credit Card,Beverages,Tea Pack,47,2.86,1.56,134.42,0.04,129.04,2023-03-28
TXN_628678,CUST_0932,Online,Credit Card,Beverages,Energy Drink,20,2.99,2.35,59.8,0,59.8,2024-08-12
TXN_305953,CUST_0963,In-store,Cash,Beverages,Bottled Water,12,1.05,0.87,12.6,0,12.6,2025-06-15
TXN_499228,CUST_0325,In-store,Cash,Beverages,Soft Drink,15,2.2,1.46,33,0,33,2024-05-14
TXN_302491,CUST_0579,In-store,Cash,Beverages,Coffee Beans,33,2.65,1.67,87.45,0,87.45,2024-12-23
TXN_416580,CUST_0761,In-store,Cash,Beverages,Energy Drink,25,2.99,2.19,74.75,0,74.75,2024-09-01
TXN_127506,CUST_0175,In-store,Credit Card,Beverages,Coffee Beans,80,2.65,1.88,212,0.049,201.61,2023-10-01
TXN_753761,CUST_0851,In-store,Cash,Beverages,Tea Pack,16,2.86,1.73,45.76,0,45.76,2023-06-06
TXN_994738,CUST_0514,Online,Credit Card,Beverages,Coffee Beans,14,2.65,1.75,37.1,0,37.1,2023-08-24
TXN_971930,CUST_0172,In-store,Cash,Beverages,Energy Drink,24,2.99,2.15,71.76,0,71.76,2025-10-23
TXN_120548,CUST_0997,In-store,Credit Card,Beverages,Soft Drink,33,2.2,1.61,72.6,0,72.6,2025-07-22
TXN_104651,CUST_0960,In-store,Credit Card,Beverages,Soft Drink,38,2.2,1.57,83.6,0,83.6,2024-01-26
TXN_168492,CUST_0502,Online,Credit Card,Beverages,Coffee Beans,27,2.65,2.22,71.55,0,71.55,2025-06-03
TXN_990517,CUST_0977,Online,Credit Card,Beverages,Bottled Water,25,1.05,0.54,26.25,0,26.25,2025-01-14
TXN_260243,CUST_0334,In-store,Cash,Beverages,Coffee Beans,26,2.65,1.68,68.9,0,68.9,2023-08-28
TXN_856870,CUST_0284,In-store,Credit Card,Beverages,Tea Pack,18,2.86,2.29,51.48,0,51.48,2023-04-27
TXN_542241,CUST_0475,In-store,Credit Card,Beverages,Soft Drink,17,2.2,1.67,37.4,0,37.4,2025-07-23
TXN_215517,CUST_0054,In-store,Cash,Beverages,Soft Drink,13,2.2,1.91,28.6,0,28.6,2024-04-06
TXN_333973,CUST_0458,Online,Credit Card,Beverages,Soft Drink,12,2.2,1.62,26.4,0,26.4,2023-08-08
TXN_600685,CUST_0579,In-store,Cash,Beverages,Bottled Water,25,1.05,0.79,26.25,0,26.25,2025-02-20
TXN_848888,CUST_0420,Online,Credit Card,Beverages,Bottled Water,28,1.05,0.82,29.4,0,29.4,2024-08-25
TXN_485753,CUST_0614,In-store,Cash,Beverages,Energy Drink,28,2.99,1.72,83.72,0,83.72,2025-07-15
TXN_322084,CUST_0632,In-store,Credit Card,Beverages,Coffee Beans,20,2.65,2.12,53,0,53,2024-05-17
TXN_690483,CUST_0703,Online,Credit Card,Beverages,Coffee Beans,18,2.65,1.64,47.7,0,47.7,2024-11-28
TXN_369949,CUST_0409,In-store,Credit Card,Beverages,Tea Pack,21,2.86,1.92,60.06,0,60.06,2024-09-23
TXN_428440,CUST_0982,Online,Credit Card,Beverages,Soft Drink,34,2.2,1.11,74.8,0,74.8,2024-07-09
TXN_720597,CUST_0304,In-store,Cash,Beverages,Bottled Water,11,1.05,0.88,11.55,0,11.55,2024-12-16
TXN_468971,CUST_0935,In-store,Credit Card,Beverages,Tea Pack,21,2.86,2.52,60.06,0,60.06,2025-07-26
TXN_455747,CUST_0559,Online,Credit Card,Beverages,Tea Pack,14,2.86,1.5,40.04,0,40.04,2023-08-01
TXN_142718,CUST_0222,In-store,Cash,Beverages,Bottled Water,27,1.05,0.79,28.35,0,28.35,2023-11-26
TXN_531824,CUST_0533,In-store,Credit Card,Beverages,Coffee Beans,24,2.65,2.34,63.6,0,63.6,2023-12-16
TXN_614703,CUST_0158,In-store,Cash,Beverages,Soft Drink,16,2.2,1.63,35.2,0,35.2,2024-05-19
TXN_429535,CUST_0348,Online,Credit Card,Beverages,Coffee Beans,5,2.65,2.17,13.25,0,13.25,2025-09-23
TXN_193321,CUST_0159,In-store,Credit Card,Beverages,Tea Pack,38,2.86,1.57,108.68,0.043,104.01,2023-11-09
TXN_837634,CUST_0889,In-store,Credit Card,Beverages,Soft Drink,10,2.2,1.32,22,0,22,2024-03-17
TXN_171157,CUST_0884,In-store,Cash,Beverages,Energy Drink,54,2.99,1.91,161.46,0.04,155,2023-07-06
TXN_724864,CUST_0922,In-store,Credit Card,Beverages,Tea Pack,11,2.86,2.55,31.46,0,31.46,2024-04-27
TXN_555269,CUST_0235,Online,Credit Card,Beverages,Coffee Beans,9,2.65,2.15,23.85,0,23.85,2024-10-14
TXN_939778,CUST_0662,In-store,Cash,Beverages,Coffee Beans,14,2.65,2.26,37.1,0,37.1,2024-05-18
TXN_596410,CUST_0405,Online,Credit Card,Beverages,Coffee Beans,18,2.65,1.84,47.7,0,47.7,2025-09-21
TXN_192550,CUST_0257,In-store,Credit Card,Beverages,Bottled Water,60,1.05,0.83,63,0,63,2025-08-14
TXN_692986,CUST_0677,Online,Credit Card,Beverages,Tea Pack,10,2.86,2.27,28.6,0,28.6,2025-09-23
TXN_185800,CUST_0589,Online,Credit Card,Beverages,Soft Drink,10,2.2,1.6,22,0,22,2024-08-07
TXN_729109,CUST_0597,Online,Credit Card,Beverages,Coffee Beans,18,2.65,2.26,47.7,0,47.7,2024-10-10
TXN_305003,CUST_0558,In-store,Credit Card,Beverages,Coffee Beans,7,2.65,1.49,18.55,0,18.55,2023-05-16
TXN_415261,CUST_0905,In-store,Credit Card,Beverages,Bottled Water,5,1.05,0.55,5.25,0,5.25,2025-01-07
TXN_683405,CUST_0913,Online,Credit Card,Beverages,Soft Drink,20,2.2,1.37,44,0,44,2025-01-28
TXN_952576,CUST_0047,In-store,Credit Card,Beverages,Tea Pack,13,2.86,1.53,37.18,0,37.18,2024-02-20
TXN_782616,CUST_0213,In-store,Credit Card,Beverages,Energy Drink,10,2.99,1.57,29.9,0,29.9,2023-09-28
TXN_894508,CUST_0479,Online,Credit Card,Beverages,Bottled Water,20,1.05,0.7,21,0,21,2025-08-06
TXN_396052,CUST_0487,In-store,Credit Card,Beverages,Tea Pack,26,2.86,1.66,74.36,0,74.36,2024-10-27
TXN_374497,CUST_0571,Online,Credit Card,Beverages,Energy Drink,39,2.99,2.44,116.61,0.047,111.13,2023-03-26
TXN_978722,CUST_0566,In-store,Digital Wallet,Beverages,Coffee Beans,48,2.65,1.94,127.2,0.053,120.46,2024-04-06
TXN_563748,CUST_0342,Online,Credit Card,Beverages,Coffee Beans,10,2.65,1.71,26.5,0,26.5,2024-11-07
TXN_580059,CUST_0524,In-store,Credit Card,Beverages,Soft Drink,16,2.2,1.35,35.2,0,35.2,2023-03-25
TXN_632461,CUST_0704,In-store,Credit Card,Beverages,Energy Drink,15,2.99,2.17,44.85,0,44.85,2024-05-22
TXN_270075,CUST_0503,Online,Credit Card,Beverages,Coffee Beans,22,2.65,1.79,58.3,0,58.3,2025-07-28
TXN_105196,CUST_0006,In-store,Credit Card,Beverages,Coffee Beans,17,2.65,1.38,45.05,0,45.05,2024-03-26
TXN_238989,CUST_0821,Online,Credit Card,Beverages,Soft Drink,18,2.2,1.69,39.6,0,39.6,2024-10-17
TXN_166274,CUST_0144,Online,Credit Card,Beverages,Tea Pack,22,2.86,2,62.92,0,62.92,2024-09-08
TXN_835079,CUST_0858,In-store,Credit Card,Beverages,Coffee Beans,18,2.65,1.62,47.7,0,47.7,2023-08-02
TXN_687829,CUST_0261,Online,Credit Card,Beverages,Bottled Water,20,1.05,0.65,21,0,21,2024-06-19
TXN_529707,CUST_0585,In-store,Credit Card,Beverages,Bottled Water,83,1.05,0.72,87.15,0,87.15,2025-10-28
TXN_713520,CUST_0686,Online,Credit Card,Beverages,Tea Pack,8,2.86,2.38,22.88,0,22.88,2024-04-21
TXN_708934,CUST_0232,In-store,Credit Card,Beverages,Energy Drink,17,2.99,2,50.83,0,50.83,2025-07-22
TXN_830197,CUST_0270,Online,Digital Wallet,Beverages,Soft Drink,18,2.2,1.84,39.6,0,39.6,2024-09-07
TXN_807724,CUST_0940,In-store,Cash,Beverages,Bottled Water,27,1.05,0.7,28.35,0,28.35,2025-08-12
TXN_909004,CUST_0447,In-store,Cash,Beverages,Bottled Water,7,1.05,0.87,7.35,0,7.35,2025-08-20
TXN_589087,CUST_0874,In-store,Cash,Beverages,Tea Pack,34,2.86,2.5,97.24,0,97.24,2025-10-03
TXN_386565,CUST_0222,In-store,Credit Card,Beverages,Energy Drink,31,2.99,1.52,92.69,0,92.69,2025-07-25
TXN_102164,CUST_0052,In-store,Credit Card,Beverages,Energy Drink,23,2.99,1.57,68.77,0,68.77,2025-07-04
TXN_468786,CUST_0116,In-store,Digital Wallet,Beverages,Tea Pack,29,2.86,1.58,82.94,0,82.94,2023-01-25
TXN_341623,CUST_0538,In-store,Cash,Beverages,Bottled Water,11,1.05,0.58,11.55,0,11.55,2025-08-25
TXN_729394,CUST_0565,In-store,Credit Card,Beverages,Soft Drink,23,2.2,1.5,50.6,0,50.6,2023-07-11
TXN_678580,CUST_0877,In-store,Credit Card,Beverages,Bottled Water,29,1.05,0.85,30.45,0,30.45,2023-04-12
TXN_432311,CUST_0541,In-store,Credit Card,Beverages,Energy Drink,11,2.99,2.64,32.89,0,32.89,2023-05-19
